2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Canadian Pacific Railway Limited,CP.TO,187.60,187.72,189.98,189.84,"347,859","465,433","420,200",1.40,0.74%,0.70%,1.12%,16.67%,"Apr 25, 2016","Mar 22, 2016",1.20,-20.91%,-0.94%,241.73,140.02,172.52,177.33,152970000.0,138810000.0,13.80%,62.20%,1470000.0,3.52,0.98%,28710000000.0,37020000000.0,22.34,15.16,1.21,4.33,6.06,5.52,11.51,Dec 31,"Dec 31, 2015",20.14%,39.03%,9.04%,25.99%,6710000000.0,42.03,-4.10%,N/A,3220000000.0,1350000000.0,8.40,-29.30%,650000000.0,4.25,8960000000.0,186.76,1.06,31.35,2460000000.0,768250000.0,N/A,N/A,N/A
Cogeco Communications Inc.,CCA.TO,64.97,65.05,64.92,64.75,"82,426","88,344","107,338",1.56,2.53%,2.30%,1.99%,27.16%,"May 11, 2016","Jul 24, 2015",0.89,-4.00%,-0.94%,73.77,58.32,67.54,65.06,33360000.0,22460000.0,10.41%,4.40%,628580.0,10.00,N/A,3190000000.0,6360000000.0,12.25,11.25,1.26,1.52,1.76,3.05,6.65,Aug 31,"Nov 30, 2015",12.56%,22.91%,5.36%,15.60%,2089999999.9999998,42.65,8.70%,N/A,955760000.0,262149999.99999997,5.31,7.80%,37670000.0,0.77,3210000000.0,177.98,0.47,36.87,762900000.0,264490000.0,N/A,N/A,Jul 12 - Jul 18 (Est.)
Power Corporation of Canada,POW.TO,30.11,30.15,30.25,30.16,"401,679","700,292","478,262",1.25,4.12%,4.10%,4.17%,31.82%,"Mar 31, 2016","Mar 8, 2016",0.97,-10.08%,-0.94%,34.05,26.25,29.61,29.28,414370000.0,364540000.0,N/A,N/A,20600000.0,28.81,N/A,13970000000.0,-66120000000.00001,7.59,8.76,0.88,0.35,1.12,-1.63,-12.13,Dec 31,"Sep 30, 2015",4.69%,12.77%,0.83%,12.54%,40500000000.0,87.60,5.40%,N/A,5450000000.0,1850000000.0,3.97,43.50%,94910000000.0,204.97,14830000000.0,42.98,25.71,27.11,5290000000.0,-3460000000.0,2:1,"Jul 21, 2004",N/A
Pacific Exploration & Production Corporation,PRE.TO,0.68,0.69,0.73,0.70,"3,511,187","3,532,690","3,910,990",N/A,N/A,N/A,N/A,N/A,"Dec 19, 2014","Dec 10, 2014",1.65,-82.38%,-0.94%,6.38,0.39,0.97,1.53,316100000.0,166020000.0,10.27%,14.60%,11680000.0,3.47,N/A,214940000.0,5070000000.0,N/A,N/A,N/A,0.07,0.28,1.60,5.53,Dec 31,"Sep 30, 2015",-101.98%,-76.22%,-15.07%,-123.18%,3160000000.0,10.08,-49.60%,N/A,916710000.0,-3230000000.0,-10.28,N/A,488890000.0,1.55,5340000000.0,540.73,1.08,2.63,755150000.0,-104830000.0,1:6,"May 9, 2008",May 12 - May 16 (Est.)
Brookfield Infrastructure Partners L.P.,BIP-UN.TO,53.20,53.46,53.32,53.32,"111,029","136,191","131,079",2.96,5.55%,4.10%,4.54%,203.44%,"Mar 31, 2016","Feb 25, 2016",0.68,-2.66%,-0.94%,57.60,44.62,52.38,51.86,162100000.0,161970000.0,N/A,N/A,114180.0,0.46,N/A,8650000000.0,15680000000.0,51.21,N/A,N/A,4.66,2.25,8.45,16.99,Dec 31,"Dec 31, 2015",8.95%,29.54%,2.00%,5.79%,1860000000.0,11.65,-2.20%,28.00M,923000000.0,166000000.0,1.04,-85.40%,199000000.0,1.23,7230000000.0,100.78,2.83,23.68,634000000.0,-72880000.0,N/A,N/A,N/A
Wajax Corporation,WJX.TO,17.99,18.21,17.90,18.09,"18,707","45,341","30,413",1.00,5.59%,5.60%,6.95%,N/A,"Apr 4, 2016","Mar 11, 2016",0.90,-30.06%,-0.94%,26.60,13.37,17.02,17.65,19990000.0,19560000.0,N/A,N/A,870470.0,17.69,N/A,363260000.0,530620000.0,9.79,11.01,-0.69,0.27,1.10,0.40,7.50,Dec 31,"Sep 30, 2015",2.51%,4.55%,5.29%,11.66%,1330000000.0,75.19,-19.10%,N/A,70720000.0,33439999.999999996,1.86,-32.00%,N/A,N/A,167530000.0,51.44,2.47,16.30,20090000.0,35730000.0,N/A,N/A,May 3 - May 9 (Est.)
Concordia Healthcare Corp.,CXR.TO,30.67,30.80,31.00,31.05,"509,807","598,454","673,188",0.38,1.24%,1.30%,N/A,N/A,"Apr 29, 2016","Apr 13, 2016",2.98,-66.57%,-0.94%,117.75,28.61,37.28,43.26,51020000.0,37060000.0,N/A,N/A,450210.0,0.77,N/A,1570000000.0,2170000000.0,219.21,4.07,N/A,6.27,1.28,8.60,13.37,Dec 31,"Sep 30, 2015",1.76%,46.77%,4.83%,0.69%,251760000.0,8.09,160.50%,N/A,161970000.0,4440000.0,0.14,N/A,675130000.0,13.27,1280000000.0,124.29,4.47,24.30,93820000.0,86640000.0,1:48,"Dec 24, 2013",May 12 - May 16 (Est.)
Imperial Oil Ltd.,IMO.TO,40.00,40.05,40.58,40.11,"661,024","812,636","734,150",0.56,1.38%,1.40%,1.05%,36.80%,"Apr 1, 2016","Dec 1, 2015",0.94,-27.34%,-0.94%,55.37,37.25,43.03,42.74,847600000.0,257500000.0,0.01%,16.30%,4540000.0,5.39,2.17%,33900000000.0,41960000000.0,30.30,18.87,3.31,1.36,1.49,1.66,12.62,Dec 31,"Dec 31, 2015",4.43%,7.60%,N/A,4.91%,25320000000.0,29.79,-23.10%,N/A,3330000000.0,1120000000.0,1.32,-84.80%,366000000.0,0.43,8430000000.0,36.38,N/A,27.33,N/A,N/A,3:1,"May 17, 2006",Apr 29 - May 5 (Est.)
National Bank of Canada,NA.TO,44.42,44.43,44.34,44.11,"1,029,213","1,701,540","1,340,010",2.16,4.87%,4.80%,4.07%,51.69%,"May 1, 2016","Mar 24, 2016",1.23,-9.35%,-0.94%,50.26,34.86,41.74,40.97,337420000.0,336630000.0,N/A,N/A,18120000.0,9.92,N/A,14990000000.0,6590000000.0,11.07,9.27,1.69,2.78,1.60,1.22,N/A,Oct 31,"Jan 31, 2016",25.82%,33.69%,0.68%,13.38%,5390000000.0,16.24,-9.60%,N/A,N/A,1350000000.0,4.01,-39.80%,75920000000.0,225.13,67530000000.0,N/A,N/A,27.78,-5810000000.0,N/A,2:1,"Feb 14, 2014",N/A
Horizon North Logistics Inc.,HNL.TO,1.23,1.25,1.25,1.25,"419,686","397,892","283,412",0.08,6.40%,17.60%,N/A,N/A,"Apr 15, 2016","Mar 29, 2016",2.26,-62.20%,-0.94%,4.29,1.06,1.19,1.86,135320000.0,121900000.0,N/A,N/A,713770.0,2.12,N/A,167790000.0,225320000.0,N/A,N/A,-0.38,0.46,0.50,0.61,3.71,Dec 31,"Dec 31, 2015",-0.23%,1.83%,0.84%,-0.27%,369890000.0,3.05,-49.40%,N/A,60740000.0,-832000.0,-0.01,N/A,N/A,N/A,57530000.0,17.26,2.08,2.51,100000000.0,42480000.0,N/A,N/A,Apr 27 - May 2 (Est.)
Crombie Real Estate Investment Trust,CRR-UN.TO,14.14,14.18,13.99,13.99,"252,742","170,611","217,025",0.89,6.36%,4.80%,6.55%,148.41%,"Apr 15, 2016","Mar 29, 2016",0.39,5.13%,-0.94%,14.22,12.21,13.83,13.14,78080000.0,23800000.0,N/A,N/A,1030000.0,4.24,N/A,1860000000.0,3970000000.0,24.96,N/A,N/A,5.00,1.59,10.80,16.46,Dec 31,"Dec 31, 2015",20.13%,47.83%,3.25%,6.33%,367620000.0,2.82,2.50%,N/A,241080000.0,74010000.0,0.57,-37.30%,N/A,N/A,2109999999.9999998,183.04,0.26,8.80,33750000.0,172080000.0,N/A,N/A,N/A
PrairieSky Royalty Ltd.,PSK.TO,23.81,23.92,24.20,23.61,"369,201","1,173,990","613,312",0.72,2.98%,5.20%,N/A,321.89%,"Apr 15, 2016","Mar 29, 2016",N/A,-27.49%,-0.94%,34.50,17.15,24.07,23.32,228780000.0,85100000.0,N/A,N/A,4330000.0,3.60,N/A,5470000000.0,4000000000.0,59.75,82.41,-6.61,19.75,1.57,18.62,22.32,Dec 31,"Dec 31, 2015",29.30%,37.63%,2.49%,3.43%,215000000.0,1.37,-79.20%,N/A,179400000.0,63000000.0,0.40,-94.70%,190800000.0,1.09,0.0,N/A,6.41,15.44,168100000.0,79560000.0,N/A,N/A,N/A
Dollarama Inc.,DOL.TO,90.58,90.73,91.43,90.87,"264,805","457,835","379,238",0.40,0.44%,0.40%,N/A,12.00%,"May 4, 2016","Apr 20, 2016",-0.02,29.82%,-0.94%,93.91,66.32,82.80,82.83,122220000.0,119390000.0,3.47%,41.00%,2650000.0,3.35,N/A,11070000000.0,12000000000.0,32.64,23.23,1.80,4.46,18.43,4.70,21.69,Feb 1,"Nov 1, 2015",14.13%,20.11%,18.95%,54.63%,2550000000.0,19.78,13.00%,N/A,553260000.0,360600000.0,2.78,37.10%,80560000.0,0.65,798200000.0,127.95,3.17,4.96,407550000.0,220420000.0,2:1,"Nov 18, 2014",Jun 8 - Jun 13 (Est.)
Freehold Royalties Ltd.,FRU.TO,10.74,10.82,10.89,10.71,"266,108","309,233","346,150",0.48,4.41%,8.40%,8.24%,N/A,"May 16, 2016","Mar 29, 2016",0.99,-40.40%,-0.94%,18.21,8.29,10.69,10.62,99140000.0,75280000.0,N/A,N/A,2960000.0,11.59,N/A,1070000000.0000001,1220000000.0,63.16,98.18,4.56,7.55,1.40,8.58,11.12,Dec 31,"Sep 30, 2015",10.14%,-7.12%,-0.78%,2.41%,142240000.0,1.68,-30.10%,N/A,109750000.0,14430000.0,0.17,N/A,263000.0,0.00,155000000.0,20.20,1.32,7.78,117460000.0,-384260000.0,N/A,N/A,May 9 - May 13 (Est.)
TransForce Inc.,TFI.TO,22.86,22.95,22.90,22.84,"46,752","292,333","119,700",0.68,2.97%,2.10%,2.59%,47.55%,"Apr 15, 2016","Mar 29, 2016",0.87,-21.24%,-0.94%,29.50,18.94,22.14,23.07,97630000.0,93020000.0,N/A,N/A,1830000.0,8.93,N/A,2240000000.0,3870000000.0,14.29,11.02,0.68,0.55,2.18,0.96,8.90,Dec 31,"Dec 31, 2015",4.06%,6.42%,4.74%,14.17%,4030000000.0000005,40.22,2.70%,N/A,434950000.0,145730000.0,1.60,1.10%,11380000.0,0.12,1640000000.0,159.97,0.77,10.52,424920000.0,-28680000.0,N/A,N/A,N/A
BCE Inc.,BCE.TO,59.73,59.75,59.95,59.93,"1,330,036","1,546,770","1,086,940",2.73,4.55%,4.40%,4.90%,87.32%,"Apr 15, 2016","Mar 11, 2016",0.18,10.59%,-0.94%,60.39,51.56,58.81,56.89,867980000.0,864880000.0,N/A,N/A,34970000.0,21.04,N/A,51850000000.0,71380000000.0,20.05,16.28,3.55,2.41,3.99,3.32,8.46,Dec 31,"Dec 31, 2015",12.45%,23.34%,6.66%,16.77%,21510000000.0,25.40,1.40%,N/A,8439999999.999999,2530000000.0,2.98,-8.40%,613000000.0,0.71,20280000000.0,117.06,0.48,15.04,6270000000.0,1370000000.0,2:1,"May 12, 1997",N/A
Primero Mining Corp.,P.TO,2.60,2.65,2.53,2.56,"421,031","1,422,670","1,190,090",0.37,3.40%,N/A,N/A,N/A,N/A,N/A,1.92,-38.75%,-0.94%,5.51,1.94,2.42,2.90,164650000.0,162680000.0,N/A,N/A,2600000.0,1.26,N/A,434670000.0,502990000.0,N/A,13.89,0.06,1.43,0.64,1.73,7.06,Dec 31,"Dec 31, 2015",-36.70%,-29.60%,-5.59%,-15.31%,291300000.0,1.79,0.30%,N/A,71210000.0,-106910000.0,-0.66,N/A,45600000.0,0.28,115140000.0,17.75,1.04,3.95,81630000.0,-1480000.0,1:20,"Aug 6, 2010",N/A
Russel Metals Inc.,RUS.TO,21.05,21.19,21.31,21.20,"80,056","320,511","427,812",1.52,7.13%,7.10%,5.40%,N/A,"Mar 15, 2016","Feb 26, 2016",1.68,-23.09%,-0.94%,27.80,13.95,19.34,18.12,61700000.0,61210000.0,N/A,N/A,5870000.0,32.56,N/A,1300000000.0,1550000000.0,N/A,14.85,8.54,0.42,1.51,0.50,10.02,Dec 31,"Dec 31, 2015",-2.82%,3.84%,4.10%,-9.55%,3110000000.0,50.43,-33.60%,N/A,154400000.0,-87600000.0,-1.42,N/A,143400000.0,2.32,389900000.0,44.87,3.08,14.08,366200000.0,280670000.0,N/A,N/A,N/A
AIR CANADA,AC.TO,8.65,8.67,8.62,8.60,"875,264",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alacer Gold Corp.,ASR.TO,2.72,2.73,2.64,2.69,"751,331","1,136,000","1,240,890",N/A,N/A,N/A,N/A,N/A,"Apr 15, 2014","Mar 27, 2014",0.58,-2.50%,-0.94%,3.23,2.08,2.61,2.61,291860000.0,260290000.00000003,N/A,N/A,7370000.0,5.64,N/A,796780000.0,434780000.0,17.06,45.50,6.38,3.24,1.21,1.83,3.56,Dec 31,"Dec 31, 2015",19.65%,30.47%,5.74%,8.99%,237260000.0,0.82,-33.30%,N/A,122270000.0,46630000.0,0.16,-68.70%,360740000.0,1.24,0.0,N/A,16.43,2.19,107860000.0,23750000.0,N/A,N/A,N/A
TMX GROUP LIMITED,X.TO,49.48,49.84,49.50,49.44,"48,797",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cominar REIT,CUF-UN.TO,17.10,17.19,17.05,17.02,"703,884","283,180","174,857",1.47,8.62%,8.60%,7.31%,98.23%,"Apr 15, 2016","Mar 29, 2016",0.56,-5.39%,-0.94%,20.11,16.98,17.95,18.85,168200000.0,160910000.0,N/A,N/A,1680000.0,3.50,N/A,2880000000.0,7340000000.0,10.72,9.36,3.45,3.22,0.79,8.15,15.11,Dec 31,"Sep 30, 2015",29.46%,53.86%,3.77%,7.53%,900370000.0,5.46,27.10%,N/A,485800000.0,265260000.0,1.60,89.70%,4760000.0,0.03,4430000000.0,121.37,0.79,21.50,266529999.99999997,176340000.0,N/A,N/A,N/A
Domtar Corporation,UFS.TO,53.19,53.61,54.85,53.89,"47,637","40,068","37,363",2.09,3.82%,4.70%,2.49%,71.44%,"Apr 15, 2016","Mar 31, 2016",1.01,-0.73%,-0.94%,56.23,41.62,49.99,50.11,62660000.0,62560000.0,0.10%,89.40%,31320.0,2.79,0.18%,3340000000.0,4480000000.0,23.81,15.78,4.88,0.65,1.30,0.85,6.34,Dec 31,"Dec 31, 2015",2.70%,6.59%,3.66%,5.12%,5260000000.0,83.16,-4.70%,N/A,706000000.0,142000000.0,2.24,-19.70%,126000000.0,2.01,1260000000.0,47.51,1.97,42.20,453000000.0,309880000.0,2:1,"Jun 18, 2014",N/A
Saputo Inc.,SAP.TO,39.68,39.72,39.49,39.41,"247,023","477,892","333,938",0.54,1.37%,1.40%,1.60%,34.23%,"Mar 11, 2016","Feb 26, 2016",0.89,12.72%,-0.94%,42.50,28.43,40.11,34.73,392520000.0,218350000.0,0.00%,23.20%,3820000.0,6.42,N/A,15580000000.0,17220000000.0,25.61,21.93,2.37,1.44,3.71,1.60,15.75,Mar 31,"Dec 31, 2015",5.72%,8.38%,7.87%,16.51%,10770000000.0,27.46,2.80%,N/A,1090000000.0,615940000.0,1.55,14.30%,306110000.0,0.78,1930000000.0,45.38,1.69,10.65,828270000.0,320470000.0,2:1,"Sep 30, 2014",Jun 2 - Jun 6 (Est.)
Trilogy Energy Corp.,TET.TO,3.97,4.03,4.01,3.92,"252,003","450,595","279,288",N/A,N/A,N/A,N/A,N/A,"Dec 15, 2014","Nov 27, 2014",3.25,-53.91%,-0.94%,10.05,1.99,3.63,3.77,105190000.0,65410000.0,N/A,N/A,890350.0,1.58,N/A,505360000.0,1160000000.0,N/A,N/A,-0.21,1.49,1.09,3.40,5.62,Dec 31,"Sep 30, 2015",-74.04%,-48.31%,-6.54%,-42.80%,340010000.0,2.70,-55.30%,N/A,205640000.0,-251740000.0,-2.00,N/A,N/A,N/A,650090000.0,139.84,0.65,3.69,171440000.0,38010000.0,N/A,N/A,N/A
Whitecap Resources Inc.,WCP.TO,8.86,8.93,8.97,8.74,"1,879,443","3,534,980","3,569,550",0.45,5.02%,7.90%,N/A,N/A,"May 16, 2016","Mar 29, 2016",1.67,-42.55%,-0.94%,15.62,5.60,8.09,9.30,314400000.0,292190000.0,N/A,N/A,3580000.0,1.11,N/A,2790000000.0,3440000000.0,N/A,N/A,N/A,4.61,1.02,5.92,6.40,Dec 31,"Sep 30, 2015",-42.57%,-25.63%,-2.42%,-10.04%,581370000.0,2.13,-30.70%,N/A,537560000.0,-247510000.0,-0.91,N/A,9380000.0,0.03,800070000.0,30.31,1.09,8.83,547780000.0,95450000.0,1:10,"Oct 18, 2010",May 4 - May 9 (Est.)
Canadian Utilities Ltd.,CU.TO,35.18,35.38,35.33,35.24,"74,998","270,357","127,750",1.18,3.34%,3.40%,2.69%,105.78%,"Jun 1, 2016","Nov 3, 2015",0.50,-11.88%,-0.94%,40.71,29.49,35.40,34.18,192380000.0,56630000.0,N/A,N/A,7220000.0,33.55,N/A,9440000000.0,16510000000.000002,23.01,16.12,25.72,2.82,2.12,4.96,11.42,Dec 31,"Sep 30, 2015",13.73%,28.94%,3.52%,7.85%,3330000000.0,12.61,-12.10%,N/A,1450000000.0,405000000.0,1.53,-60.30%,578000000.0,2.17,7700000000.0,126.12,1.65,16.68,1530000000.0,-921500000.0,2:1,"Jun 17, 2013",N/A
Boralex Inc.,BLX.TO,16.23,16.30,16.25,16.25,"39,825","104,924","111,400",0.56,3.45%,3.20%,N/A,N/A,"Jun 15, 2016","May 27, 2016",0.33,18.20%,-0.94%,16.59,11.79,16.12,14.56,65140000.0,44130000.0,N/A,N/A,1360000.0,14.93,N/A,1060000000.0,2500000000.0,N/A,30.19,0.83,3.76,1.85,9.36,15.48,Dec 31,"Dec 31, 2015",-4.05%,24.22%,1.86%,-1.85%,267690000.0,5.19,268.00%,N/A,161800000.0,-10840000.0,-0.21,N/A,99640000.0,1.61,1600000000.0,288.67,0.72,8.80,114590000.0,-220990000.0,1:10,"Apr 4, 1997",May 4 - May 9 (Est.)
